agent,aliases,target_gene,modality,modality_detail,sponsor,development_stage,highest_phase,fda_approved,approval_year,approved_indication,brand_name,indications,num_trials,key_trials,key_pmids,notes
lanreotide,Somatuline Depot,SSTR2,peptide,Cyclic somatostatin-analog octapeptide depot,Ipsen / generics,fda_approved,approved,yes,2007,Acromegaly (2007); GEP-NET (2014),Somatuline Depot,Acromegaly; GEP-NETs (CLARINET indication),1,NCT02698410|Phase 2|COMPLETED|Ipsen,42123401; 42090715; 42053775; 42030411; 42122164; 42006472; 41951775; 41928014,SSTR2-preferring somatostatin analog; CLARINET established antiproliferative effect in NETs (2014 sNDA).
lutetium Lu 177 dotatate,lutathera; 177Lu-DOTATATE,SSTR2,RLT,"Lutetium-177-labeled SSTR2-binding peptide (peptide receptor radioligand therapy, PRRT)",Novartis / AAA,fda_approved,approved,yes,2018,,Lutathera,GEP-NETs; pheochromocytoma/paraganglioma (label-related),5,"NCT07284589|Phase 2|RECRUITING|Akiva Mintz; NCT06955169|Phase 2|RECRUITING|RTOG Foundation, Inc.; NCT06632873|Early Phase 1|RECRUITING|Peking Union Medical College Hospital; NCT06377371|Phase 4|RECRUITING|Weill Medical College of Cornell University; NCT05178693|Phase 1|RECRUITING|Imperial College London",42099111; 42027240; 41935511; 42122164; 42006472; 41951775; 41928014,FDA approved Jan 2018 for GEP-NETs based on NETTER-1; PRRT prototype.
octreotide,Sandostatin; Sandostatin LAR,SSTR2,peptide,Cyclic somatostatin-analog octapeptide,Novartis / generics,fda_approved,approved,yes,1988,Acromegaly / carcinoid syndrome,Sandostatin,Acromegaly; carcinoid syndrome; neuroendocrine tumors (symptom control),1,NCT03013387|Phase 2|WITHDRAWN|Sue O'Dorisio,42123401; 42110027; 42098680; 42090715; 42122164; 42006472; 41951775; 41928014,Long-established SSTR2 agonist peptide; canonical Novartis NDA019667 originally approved 1988. Numerous generic ANDAs since.
satoreotide tetraxetan,IPN01072; OPS-201,SSTR2,RLT,Next-generation SSTR2-antagonist peptide; theranostic 68Ga / 177Lu pair,Ipsen / Ariceum Therapeutics,clinical_active,phase_2,no,,,,GEP-NETs; Merkel cell carcinoma; small-cell lung cancer,4,"NCT04997317|Phase 1/Phase 2|RECRUITING|University Hospital, Basel, Switzerland; NCT03220217|Phase 2|COMPLETED|Ipsen; NCT03773133|Phase 1/Phase 2|TERMINATED|Ipsen; NCT03697551|Phase 2|TERMINATED|Ipsen",42122164; 42006472; 41951775; 41928014,Antagonist binds more SSTR2 sites than agonists; Phase 2 in NETs and SCLC ongoing as of 2025.
xaluritamig,AMG 509; STEAP1 x CD3 XmAb,STEAP1,TCE,,Amgen,clinical_active,phase_1,no,,,,mCRPC,3,NCT06613100|Phase 1|RECRUITING|Amgen; NCT04221542|Phase 1|RECRUITING|Amgen; NCT06555796|Phase 1|ACTIVE_NOT_RECRUITING|Amgen,41976311; 41899434; 41131283; 40765197; 40507301; 37861461; 37861452,
datopotamab deruxtecan,Dato-DXd; DS-1062,TACSTD2,ADC,,Daiichi Sankyo / AstraZeneca,fda_approved,approved,yes,2025,,Datroway,HR+/HER2- breast cancer; EGFR-mutant NSCLC,5,NCT07069595|Phase 2|RECRUITING|UNC Lineberger Comprehensive Cancer Center; NCT07471776|Phase 2|RECRUITING|Fudan University; NCT07291037|Phase 3|RECRUITING|AstraZeneca; NCT06822543|Phase 2|RECRUITING|Latin American Cooperative Oncology Group; NCT06974604|Phase 2|RECRUITING|Brown University,42060873; 42040770; 41999748; 41999747; 41987715; 41986504; 41957225; 41937088,
sacituzumab govitecan-hziy,IMMU-132; sacituzumab govitecan,TACSTD2,ADC,,Gilead (Immunomedics),fda_approved,approved,yes,2020,,Trodelvy,Metastatic TNBC; HR+/HER2- metastatic breast cancer; Locally advanced/metastatic urothelial (accel),5,NCT07471776|Phase 2|RECRUITING|Fudan University; NCT06524544|Phase 3|RECRUITING|National Cancer Institute (NCI); NCT06431633|Phase 3|RECRUITING|Fundación GECP; NCT06665178|Phase 2|RECRUITING|British Columbia Cancer Agency; NCT07063212|Phase 2|RECRUITING|Memorial Sloan Kettering Cancer Center,41991763; 40515614; 40502326; 40017901; 39878898; 39768216; 39753485; 35728046,
sacituzumab tirumotecan,sac-TMT; SKB264; MK-2870,TACSTD2,ADC,,Kelun-Biotech / Merck,clinical_active,phase_3,no,,,,TNBC; NSCLC (China),5,NCT07471776|Phase 2|RECRUITING|Fudan University; NCT07216703|Phase 3|RECRUITING|Merck Sharp & Dohme LLC; NCT07548060|Phase 2|RECRUITING|Tianjin Medical University Cancer Institute and Hospital; NCT07068542|NA|RECRUITING|Zhejiang Provincial People's Hospital; NCT06952504|Phase 3|RECRUITING|Merck Sharp & Dohme LLC,42110256; 42059343; 41726150; 41466127; 41276258; 41258931; 40768820,
INBRX-109,ozekibart,TNFRSF10B,mAb,Tetravalent DR5 agonist sdAb,Inhibrx / Sanofi,clinical_active,phase_2,no,,,,Conventional chondrosarcoma; Ewing sarcoma,1,"NCT03715933|Phase 1|RECRUITING|Inhibrx Biosciences, Inc",40045030; 39652252; 39286782; 42103248; 42039429; 41670688; 41620011,Phase 2 ChonDRAgon in unresectable chondrosarcoma ongoing; FDA fast-tracked.
conatumumab,AMG 655,TNFRSF10B,mAb,,Amgen,preclinical_published,phase_2,no,,,,"Pancreatic, NSCLC, sarcoma",0,,40991439; 39365855; 36428719; 42103248; 42039429; 41670688; 41620011,Anti-DR5 mAb; multiple Phase 2 trials in solid tumors; discontinued.
eftozanermin alfa,ABBV-621,TNFRSF10B,fusion_protein,Hexameric TRAIL receptor agonist fusion,AbbVie,clinical_completed_unapproved,phase_2,no,,,,Pancreatic adenocarcinoma; colorectal; myelofibrosis,0,,36720090; 35467243; 33687950; 42103248; 42039429; 41670688; 41620011,DR5 (TNFRSF10B) hexavalent agonist; Phase 2 completed without registrational efficacy; program de-prioritized.
tigatuzumab,CS-1008,TNFRSF10B,mAb,,Daiichi Sankyo,clinical_completed_unapproved,phase_2,no,,,,Pancreatic adenocarcinoma; NSCLC,1,NCT01307891|Phase 2|COMPLETED|University of Alabama at Birmingham,39273237; 37972723; 32739322; 42103248; 42039429; 41670688; 41620011,Anti-DR5 IgG1 agonist; multiple Phase 2 trials negative; representative of first-gen DR5 mAb experience.
belantamab mafodotin-blmf,belantamab mafodotin; GSK2857916,TNFRSF17,ADC,,GSK,fda_approved,approved,yes,2025,,Blenrep,Relapsed/refractory multiple myeloma,5,NCT05208307|Phase 2|RECRUITING|Emory University; NCT04876248|Phase 2|ACTIVE_NOT_RECRUITING|Roswell Park Cancer Institute; NCT06868654|Phase 3|ACTIVE_NOT_RECRUITING|GlaxoSmithKline; NCT04398745|Phase 1|ACTIVE_NOT_RECRUITING|GlaxoSmithKline; NCT05887206|Not applicable / unspecified|COMPLETED|Centre Hospitalier Universitaire de Saint Etienne,36537407; 35736811; 35694818; 35173991; 32959867; 32943087; 32936437,Hematologic exemplar (multiple myeloma); included to illustrate modality maturity rather than direct solid-tumor utility.
ciltacabtagene autoleucel,cilta-cel; JNJ-4528; LCAR-B38M,TNFRSF17,CAR_T,,Janssen / Legend Biotech,fda_approved,approved,yes,,,Carvykti,Relapsed/refractory multiple myeloma,4,"NCT05666700|Phase 1|RECRUITING|Peter MacCallum Cancer Centre, Australia; NCT05257083|Phase 3|ACTIVE_NOT_RECRUITING|Stichting European Myeloma Network; NCT04133636|Phase 2|ACTIVE_NOT_RECRUITING|Janssen Research & Development, LLC; NCT03090659|Phase 1/Phase 2|UNKNOWN|Nanjing Legend Biotech Co.",42115674; 42086512; 42084945; 42057607; 42010117; 42004964; 42004656; 42000954,Hematologic exemplar (multiple myeloma); included to illustrate modality maturity rather than direct solid-tumor utility.
elranatamab-bcmm,elranatamab; PF-06863135,TNFRSF17,TCE,,Pfizer,fda_approved,approved,yes,2023,,Elrexfio,Relapsed/refractory multiple myeloma,5,"NCT07280013|Phase 1|RECRUITING|C4 Therapeutics, Inc.; NCT06421675|Phase 2|RECRUITING|Ontario Clinical Oncology Group (OCOG); NCT06215118|Phase 1|RECRUITING|Pfizer; NCT05623020|Phase 3|RECRUITING|Pfizer; NCT06592222|Not applicable / unspecified|COMPLETED|Pfizer",39999248; 37924427; 37840703; 37703126,Hematologic exemplar (multiple myeloma); included to illustrate modality maturity rather than direct solid-tumor utility.
idecabtagene vicleucel,ide-cel; bb2121,TNFRSF17,CAR_T,,Bristol Myers Squibb / 2seventy bio,fda_approved,approved,yes,,,Abecma,Relapsed/refractory multiple myeloma,2,NCT05032820|Phase 2|COMPLETED|Medical College of Wisconsin; NCT03361748|Phase 2|COMPLETED|Celgene,42115674; 42086512; 42084945; 41975476; 41974660; 41914448; 41899614; 41894689,Hematologic exemplar (multiple myeloma); included to illustrate modality maturity rather than direct solid-tumor utility.
teclistamab-cqyv,teclistamab; JNJ-7957; BCMA x CD3,TNFRSF17,TCE,,Janssen,fda_approved,approved,yes,2022,,Tecvayli,Relapsed/refractory multiple myeloma,5,"NCT06993675|Phase 2|RECRUITING|Noffar Bar; NCT05932680|Phase 2|RECRUITING|Abramson Cancer Center at Penn Medicine; NCT05972135|Phase 2|RECRUITING|SCRI Development Innovations, LLC; NCT07332507|Phase 1|NOT_YET_RECRUITING|National Cancer Institute (NCI); NCT06588660|Phase 1|TERMINATED|University of Washington",39412823; 36701511; 37848191; 37350009; 37009408; 36645056; 36384770,Hematologic exemplar (multiple myeloma); included to illustrate modality maturity rather than direct solid-tumor utility.
